case_id,category,passed,http_status,error,answer_mode,guard_reason,used_fallback,citations_count,retrieved_count,expected_source_doc,expected_source_pages,required_answer_terms,http_200,answer_nonempty,answer_mode_match,citations_present,source_doc_match,page_match,required_terms_present,not_abstained,not_used_fallback,failed_checks,question,answer_text
geq_001,手順系質問,True,200,,grounded_extractive,,False,1,12,040219e-biscfaq.pdf,1,旧バージョンJRE|アンインストール手順書|電子入札準備手順書一覧,True,True,True,True,True,True,True,True,True,[],旧バージョンJREアンインストール手順書の場所を確認したい。,"文書内では、以下の記載が確認できます。
- e-BISC センターホームページ画面左の「電子入札準備手順書一覧」メニューをクリックし、「事前確認」の「手順2」にある「旧バージョンJRE アンインストール手順書(176KB)」をクリックして頂くと、マニュアルが表示出来ます
- マニュアル「旧バージョンJRE アンインストール手順書」はどこにありますか
- e-BISC センターホームページ画面左の「電子入札準備手順書一覧」メニューをクリックし、「事前確認」の「手順1」にある「電子入札ソフトアンインストール手順書(76KB)」をクリックして頂くと、マニュアルが表示出来ます"
geq_002,条件確認系質問,True,200,,grounded_extractive,,False,1,9,040219e-biscfaq.pdf,1,企業ID|16 桁|認証局|地域,True,True,True,True,True,True,True,True,True,[],企業IDの番号は認証局や地域ごとに変わるのか。,"文書内では、以下の記載が確認できます。
- e-BISC センター FAQ (http://www.e-bisc.go.jp/)1質問内容区分質問回答社内で認証局が異なるIC カードを持っていますが、それぞれに利用者登録を行なった場合、企業ID はどのように採番されますか
- この番号はご利用の認証局や地域に関係なく、利用者登録を実施した順番に自動採番されます
- 接続確認、本番とも、利用者登録を実施すると企業ID として16 桁の数字が採番されます"
geq_003,根拠ページ確認系質問,True,200,,grounded_extractive,,False,1,8,040219e-biscfaq.pdf,2,Java Plug-in|警告|2 バイト文字,True,True,True,True,True,True,True,True,True,[],Java Plug-in アプレットインストールの警告が出る原因を調べたい。,"文書内では、以下の記載が確認できます。
- 接続確認メインメニュー画面にて、「Java Plug-inアプレットインストールの警告」画面が表示されます
- 1.PC 端末にてWindows にログインする際のユーザ名、又はWindows のネットワークに用いるユーザ名を漢字等の2 バイト文字で設定している
- Java.Lang.RuntimeException:署名検証が不正に終了」と表示されます"
geq_004,手順系質問,True,200,,grounded_extractive,,False,2,9,040219e-biscfaq.pdf,2,PIN|デバイスが使用できません|IC カードリーダー,True,True,True,True,True,True,True,True,True,[],接続確認でPIN入力後にデバイスが使用できないと出る場合の関連箇所はどこか。,"文書内では、以下の記載が確認できます。
- 接続確認利用者登録にて、PIN 番号を入力し「OK」ボタンを押下すると「デバイスが使用できません」と表示されます
- IC カードリーダーに関連するソフトがインストールされていないか、インストール済であっても正常に動作していない場合に表示されるメッセージです
- ・ 適格請求書に係る電磁的記録の提供からタイムスタンプを付すまでの各事務の処理に関する規程を定めている場合において、その業務の処理に係る通常の期間を経過した後、速やかにタイムスタンプを付すことハ 適格請求書に係る電磁的記録の記録事項について、次のいずれかの要件を満たす電子計算機処理システムを使用して適格請求書に係る電磁的記録の提供及びその電磁的記録を保存すること"
geq_005,通常質問,True,200,,grounded_extractive,,False,2,7,0022009-090.pdf,3,適格請求書|正確な適用税率|消費税額,True,True,True,True,True,True,True,True,True,[],適格請求書とはどのような手段だと説明されているか。,"文書内では、以下の記載が確認できます。
- 留意点(3) 適格請求書及び適格簡易請求書の記載事項適格請求書とは、「売手が、買手に対し正確な適用税率や消費税額等を伝えるための手段」であり、一定の事項が記載された請求書や納品書その他これらに類するものをいいます
- 適格請求書とは、「売手が買手に対し正確な適用税率や消費税額等を伝えるための手段」であり、一定の事項が記載された請求書や納品書その他これらに類するものをいいます
- 令和5年 1 月 1 日から、 複数税率に対庫した仕入税額控除の方式として、「適格請求書等保存方式」(インボイス制度) が開始されます"
geq_006,条件確認系質問,True,200,,grounded_extractive,,False,2,15,0022009-090.pdf,10,新たに設立された法人|登録申請書|課税期間,True,True,True,True,True,True,True,True,True,[],新しく設立された法人が登録時期の特例を受ける条件は何か。,"文書内では、以下の記載が確認できます。
- 8(7) 新たに設立された法人等の登録時期の特例新たに設立された法人が、事業を開始した日の属する課税期間の初日から登録を受けようとする旨を記載した登録申請書を、事業を開始した日の属する課税期間の末日までに提出した場合において、税務署長により適格請求書発行事業者登録簿への登載が行われたときは、その課税期間の初日に登録を受けたものとみなされます(以下「新たに設立された法人等の登録時期の特例」といいます
- 置 (免税事業者の登録申請手続)・・・・・6(7) 新たに設立されだ法人等の登録時期の特例・・・・・・ででで・・・・・・・・8(8) 相続があっだ場合・・・・・・・・・・ 9(9) 国税庁適格請求書発行事業者公表サイ トDCEEECIEEOEO EK10
- 新たに設立された法人が課税事業者の場合には、事業を開始した課税期間の末日までに、事業を開始した日の属する課税期間の初日から登録を受けようとする旨を記載した登録申請書を提出することで、新たに設立された法人等の登録時期の特例の適用を受けることができます"
geq_007,手順系質問,True,200,,grounded_extractive,,False,1,12,0022009-090.pdf,11,相続|事業を承継|登録申請書,True,True,True,True,True,True,True,True,True,[],相続で事業を承継した人がインボイス登録を受けるには何を提出する必要があるか。,"文書内では、以下の記載が確認できます。
- したがって、相続により事業を承継した相続人が、適格請求書発行事業者の登録を受けるためには、登録申請書を提出する必要があります(相続人が既に登録申請書を提出していた場合を除きます
- また、相続により事業を承継した相続人が、適格請求書発行事業者の登録を受けるためには、相続人は登録申請書の提出が必要となります(相続人が既に登録を受けていた場合を除きます
- 2 令和5年10 月1日以後に死亡した場合令和5年10 月1日以後に適格請求書発行事業者が死亡した場合、その相続人は「適格請求書発行事業者の死亡届出書」を提出する必要があり、届出書の提出日の翌日又は死亡した日の翌日から4月を経過した日のいずれか早い日に登録の効力が失われます"
geq_008,根拠ページ確認系質問,True,200,,grounded_extractive,,False,3,9,0022009-090.pdf,14,偽りの記載|禁止|罰則,True,True,True,True,True,True,True,True,True,[],適格請求書に偽りの記載をした場合の注意事項はどこにあるか。,"文書内では、以下の記載が確認できます。
- なお、この場合、交付する適格請求書に「8%対象 0円」といった記載は不要です
- 適格請求書発行事業者の登録を受けていない事業者が、適格請求書又は適格簡易請求書と誤認されるおそれのある書類を交付することや、適格請求書発行事業者が、偽りの記載をした適格請求書又は適格簡易請求書を交付することは禁止されており、違反した場合の罰則も設けられています
- (注)媒介者交付特例により適格請求書の交付を行う受託者が、自らの課税資産の譲渡等に係る適格請求書の交付も併せて行う場合、自らの課税資産の譲渡等と委託を受けたものを一の適格請求書に記載しても差し支えありません"
geq_009,通常質問,True,200,,grounded_extractive,,False,2,10,0022009-090.pdf,17,個々の商品|消費税額|認められません,True,True,True,True,True,True,True,True,True,[],個々の商品ごとに消費税額を計算して合計する例は認められるのか。,"文書内では、以下の記載が確認できます。
- 個々の商品ごとに消費税額を計算し、その計算した消費税額を税率ごとに合計し、適格請求書の記載事項とすることはできません
- ※ 例えば、一の適格請求書に記載されている個々の商品ごとに消費税額等を計算し、端数処理を行い、その合計額を「税率ごとに区分した消費税額等」として記載することは認められません
- また、税抜金額を基に消費税額を計算する場合と同様に、個々の商品ごとに消費税額を計算し、その計算した消費税額を税率ごとに合計し、適格請求書の記載事項とすることはできません"
geq_010,根拠ページ確認系質問,True,200,,grounded_extractive,,False,2,9,r6_tokushu1_1.pdf,2,111|活火山|火山国,True,True,True,True,True,True,True,True,True,[],日本には活火山がいくつあると書かれているか。,"文書内では、以下の記載が確認できます。
- この考え方を踏まえ、平成15年(2003年)に火山噴火予知連絡会は「概ね過去1万年以内に噴火した火山及び現在活発な噴気活動のある火山」を活火山として定義し直し、令和6年(2024年)4月時点で、火山調査研究推進本部政策委員会によって111の活火山が選定されている2
- 「火山」を知る、そして備える特集1我が国は、111の活火山を抱える世界有数の火山国である
- 第1章御嶽山噴火から10年、教訓を踏まえた火山防災対策について長野県と岐阜県にまたがる標高3,067mの御嶽山は、活火山としては富士山に次ぎ日本で二番目の高さを誇る"
